filename,stage,frame_index,left_arm_angle,right_arm_angle,left_leg_angle,right_leg_angle
R1ca12,Stage 2,11,160.72860568413572,185.62941214402554,198.44349150654935,220.73553991866592
R1ca12,Stage 3,29,106.50436138175502,160.40170093894525,215.93600678158975,227.8019228000581
R1ca12,Stage 2,12,167.78360594827276,191.4914390881134,209.53384807256435,225.0
R1ca12,Stage 2,13,165.0596901043313,186.90726621621647,204.59247097311132,223.14097509534517
R1ca12,Stage 3,28,304.695153531234,168.13850064668358,211.040958088838,225.78516332161607
R1ca12,Stage 3,38,194.33107335028507,152.2153864273694,246.55510840611544,259.37548992645475
R1ca12,Stage 8,70,161.72736173301467,251.78973935670248,84.09670569287417,137.90020563664532
R1ca12,Stage 2,17,155.22485943116806,122.58570735391442,190.59497876429705,191.2589122029881
R1ca12,Stage 2,16,152.07554397399224,118.90918365114781,185.34238301232944,205.90532324776186
R1ca12,Stage 3,39,177.64915064047528,144.5721698364749,245.94397596166345,259.08255797324637
R1ca12,Stage 8,71,120.56793706386408,224.5888827408548,63.8482852337477,131.2229347072181
R1ca12,Stage 2,14,142.99747347180383,229.68132718201377,193.45029371157474,198.39447141565878
R1ca12,Stage 2,15,166.49823062859284,222.46031954965932,200.1744161871463,212.5325159670181
R1ca12,Stage 8,72,164.50865565843665,208.18557342586428,105.77585050743548,132.01435974388355
R1ca12,Stage 7,69,245.6954507340633,216.86989764584402,118.79057011781804,130.56552949389877
R1ca12,Stage 4,49,174.09786054703545,152.0402259276285,244.05541298012153,266.7693306924904
R1ca12,Stage 1,4,155.04004314386077,200.04787410038045,200.28504405137824,184.9435663217479
R1ca12,Stage 1,5,153.68624449013097,194.9679525532989,190.92830801241928,183.5527888711228
R1ca12,Stage 4,48,152.99924787165426,206.23113103633727,232.27823695567724,251.7876342099381
R1ca12,Stage 7,68,143.5172301083069,254.09076045492967,143.41783414392134,89.55700022335606
R1ca12,Stage 1,7,169.31564553266566,220.53213863813747,134.01277984371876,346.7111226099932
R1ca12,Stage 1,6,171.82960998377655,209.25177835774656,136.3693594409072,156.83391688819924
R1ca12,Stage 1,2,152.80396354543694,215.95452657748456,163.68942292842138,161.81037579351604
R1ca12,Stage 1,3,148.60973189581222,216.72502872696768,138.94761803496596,157.65347936454933
R1ca12,Stage 6,57,94.32432163959825,168.98952009299643,164.1191308876063,181.00821598146115
R1ca12,Stage 1,1,138.30186567443502,236.9002012962452,158.06765140659869,176.65318135825981
R1ca12,Stage 1,0,130.64427721722112,247.7144123531672,167.776185955,175.39520817222802
R1ca12,Stage 7,60,66.95833325246312,344.5387822595581,168.82944837683638,184.97626421430698
R1ca12,Stage 3,40,201.19846939361642,262.1747367683654,230.51466583237968,164.53878225955808
R1ca12,Stage 4,54,318.8785245028477,185.01692103654477,175.11972234875836,189.99152652932355
R1ca12,Stage 3,41,161.8278740103145,165.96375653207352,165.03044919720153,244.74003862251794
R1ca12,Stage 7,61,180.0,286.85839876773827,170.2392649719795,183.07861468857413
R1ca12,Stage 7,63,225.33375804725284,216.5958509098532,170.8642403210535,180.70638509159676
R1ca12,Stage 3,43,152.14942478553763,155.55797067508945,153.38631065165703,214.09249483508216
R1ca12,Stage 3,42,150.4221613187387,145.68491240000273,215.00221880640987,223.23822459331276
R1ca12,Stage 7,62,227.3532968661083,221.41365529731118,167.24272453834425,181.24131776414924
R1ca12,Stage 7,66,274.21909534924845,289.99419102157077,151.31206712169276,90.29772365731094
R1ca12,Stage 4,46,211.77640812632725,148.4030146000928,204.73116837522937,202.3905943033062
R1ca12,Stage 4,52,105.76718254247568,133.42344994481627,180.0984650578517,165.8608916883495
R1ca12,Stage 5,55,105.25511870305778,10.773638187776182,180.6019392425629,169.81063995485883
R1ca12,Stage 4,53,22.348108347909417,152.38450921945184,178.96166340830953,171.36286858492926
R1ca12,Stage 4,47,183.98495347919675,163.90430343923515,204.22137505036355,214.50271912023354
R1ca12,Stage 7,67,18.138082155597317,354.78461433405084,143.53076560994813,86.46923772683272
R1ca12,Stage 7,59,99.93638994342834,81.65610841596691,167.00046708469608,162.12423781195682
R1ca12,Stage 7,65,225.81265159425374,227.12985320226545,158.05659382911506,126.72638941867196
R1ca12,Stage 3,45,173.22348057833332,202.38013505195957,116.16562928535956,185.6397542869314
R1ca12,Stage 4,51,,,,
R1ca12,Stage 1,8,155.513626951202,183.5950096610091,205.026340432592,219.59389580805927
R1ca12,Stage 5,56,203.48287035254984,200.67192788635973,183.39325658735547,191.69808645595512
R1ca12,Stage 1,9,156.2092261342228,181.27303002005672,190.9971574987911,215.77105768565738
